run_name,preprocessing,chunker,num_chunks,avg_chunk_tokens,top_k,top_n,reranking_threshold,chunk_size,overlap,answer_correctness
markdown__paragraph__thr00,markdown,paragraph,261,110.9,54,18,0.0,1,0,0.6197528653342446
markdown__paragraph__thr005,markdown,paragraph,261,110.9,54,18,0.05,1,0,0.6333343100717962
markdown__paragraph__thr01,markdown,paragraph,261,110.9,54,18,0.1,1,0,0.6102010052073649
markdown__split_table__thr00,markdown,split_table,869,40.4,147,49,0.0,,,0.6108124510996652
markdown__split_table__thr005,markdown,split_table,869,40.4,147,49,0.05,,,0.6070870075397228
markdown__split_table__thr01,markdown,split_table,869,40.4,147,49,0.1,,,0.5630629121687296
linearized__paragraph__thr00,linearized,paragraph,68,375.6,15,5,0.0,1,0,0.5984126390734387
linearized__paragraph__thr005,linearized,paragraph,68,375.6,15,5,0.05,1,0,0.5733558411846441
linearized__paragraph__thr01,linearized,paragraph,68,375.6,15,5,0.1,1,0,0.5677023949772956
linearized__split_table__thr00,linearized,split_table,864,29.6,201,67,0.0,,,0.6434017572414926
linearized__split_table__thr005,linearized,split_table,864,29.6,201,67,0.05,,,0.6602750985807764
linearized__split_table__thr01,linearized,split_table,864,29.6,201,67,0.1,,,0.6397083048119184
