run_name,preprocessing,chunker,query_processor,chunk_size,overlap,top_k,top_n,reranking_threshold,answer_correctness
markdown__paragraph__no_processing,markdown,paragraph,NoProcessingProcessor,2,0,18,6,0.0,0.556022365923146
markdown__paragraph__hyde,markdown,paragraph,HyDEQueryProcessor,2,0,18,6,0.0,0.5892582963674918
markdown__paragraph__cot,markdown,paragraph,CoTQueryProcessor,2,0,18,6,0.0,0.5012599577609413
markdown__character__no_processing,markdown,character,NoProcessingProcessor,1500,0,9,3,0.0,0.6894698924611368
markdown__character__hyde,markdown,character,HyDEQueryProcessor,1500,0,9,3,0.0,0.6595620185178334
markdown__character__cot,markdown,character,CoTQueryProcessor,1500,0,9,3,0.0,0.6033216004771556
markdown__wholetable__no_processing,markdown,wholetable,NoProcessingProcessor,,,45,15,0.05,0.6196325045679906
markdown__wholetable__hyde,markdown,wholetable,HyDEQueryProcessor,,,45,15,0.05,0.6396243521709367
markdown__wholetable__cot,markdown,wholetable,CoTQueryProcessor,,,45,15,0.05,0.64700175925055
markdown__splittable__no_processing,markdown,splittable,NoProcessingProcessor,,,111,37,0.1,0.5512887249876531
markdown__splittable__hyde,markdown,splittable,HyDEQueryProcessor,,,111,37,0.1,0.5135005900082242
markdown__splittable__cot,markdown,splittable,CoTQueryProcessor,,,111,37,0.1,0.4591942681750625
direct__paragraph__no_processing,direct,paragraph,NoProcessingProcessor,1,0,9,3,0.0,0.6388224450362723
direct__paragraph__hyde,direct,paragraph,HyDEQueryProcessor,1,0,9,3,0.0,0.5875515752279227
direct__paragraph__cot,direct,paragraph,CoTQueryProcessor,1,0,9,3,0.0,0.6460737918302114
direct__dynamic__no_processing,direct,dynamic,NoProcessingProcessor,150,15,18,6,0.05,0.6356335540990656
direct__dynamic__hyde,direct,dynamic,HyDEQueryProcessor,150,15,18,6,0.05,0.6243805857517262
direct__dynamic__cot,direct,dynamic,CoTQueryProcessor,150,15,18,6,0.05,0.6292580183545182
direct__character__no_processing,direct,character,NoProcessingProcessor,500,50,36,12,0.0,0.6117816281152126
direct__character__hyde,direct,character,HyDEQueryProcessor,500,50,36,12,0.0,0.5786065246359189
direct__character__cot,direct,character,CoTQueryProcessor,500,50,36,12,0.0,0.677488415209156
direct__llmchunker__no_processing,direct,llmchunker,NoProcessingProcessor,,,3,1,0.05,0.5070255255232671
direct__llmchunker__hyde,direct,llmchunker,HyDEQueryProcessor,,,3,1,0.05,0.502025327387671
direct__llmchunker__cot,direct,llmchunker,CoTQueryProcessor,,,3,1,0.05,0.48926565427250246
direct__maxmin__no_processing,direct,maxmin,NoProcessingProcessor,,,57,19,0.05,0.5850787151002144
direct__maxmin__hyde,direct,maxmin,HyDEQueryProcessor,,,57,19,0.05,0.584765038869989
direct__maxmin__cot,direct,maxmin,CoTQueryProcessor,,,57,19,0.05,0.5954525550766941
